window_idx,i,j,satellite_i,satellite_j,peak_coherence,peak_delay_ns,mean_coherence,p95_coherence
0,3,33,,,1.8380653847918968e-19,-3626.6666666666665,1.453598807069097e-20,3.930203188075763e-20
0,3,34,,,1.8380653847918968e-19,-3626.6666666666665,1.453598807069097e-20,3.930203188075763e-20
0,3,35,,,0.9292374822553366,-4010.666666666666,0.8240058195222062,0.8776616057584126
0,3,36,,,0.9292388598625181,-4010.666666666666,0.8240071692652231,0.8776603832591301
0,3,37,,,0.9293986939254969,3093.333333333333,0.8239847868523705,0.8776401195232324
0,3,38,,,0.9294921187257771,-4010.666666666666,0.8241970202338585,0.8777542594322836
0,3,39,,,0.9943698025493879,-3600.0,0.9636621874639942,0.9758286876798536
0,3,40,,,0.9943698025493879,-3600.0,0.9636621874639942,0.9758286876798536
0,3,41,,,0.9943590420977465,-3600.0,0.96363311199219,0.9758052364377571
0,3,42,,,0.9943571230555277,-3600.0,0.9636284454574303,0.9758013396051285
0,3,43,,,0.9321764521319994,-3194.6666666666665,0.8286131854884665,0.8658223178364679
0,3,44,,,0.9322041764251561,-3194.6666666666665,0.8286204265852049,0.8658190887497746
0,3,45,,,0.9322766181935993,-3194.6666666666665,0.8286971097180177,0.8658694341013666
0,3,46,,,0.9324061003783041,-3194.6666666666665,0.8288675570423125,0.8659943085300836
0,3,47,,,0.9324061003783041,-3194.6666666666665,0.8288675570423125,0.8659943085300836
0,3,48,,,0.9322763179286678,-3194.6666666666665,0.8287073325129812,0.8658767973232762
0,3,49,,,0.8890098577152982,-3194.6666666666665,0.7853193475579875,0.8313702970871341
0,4,5,,,0.9954294074060548,3306.6666666666665,0.8992793263057818,0.9253575692285143
0,4,6,,,0.995429934124714,3306.6666666666665,0.8992890685811368,0.9253653292600944
0,4,7,,,0.995429934124714,3306.6666666666665,0.8992890685811368,0.9253653292600944
0,4,8,,,0.9999999964289764,-4058.6666666666665,0.9999999534379699,0.9999999763954229
0,4,9,,,0.9954293203469232,3306.6666666666665,0.8993260689075627,0.9253877944102353
0,4,10,,,0.9954293203469232,3306.6666666666665,0.8993260689075627,0.9253877944102353
0,4,11,,,1.3861988785267609e-16,3312.0,4.551326209211122e-18,1.4697006254122208e-17
0,4,12,,,1.3861988785267609e-16,3312.0,4.551326209211122e-18,1.4697006254122208e-17
0,4,13,,,1.3864740525085217e-16,3312.0,4.5522199925208034e-18,1.4698992220032195e-17
0,4,14,,,1.3864740525085217e-16,3312.0,4.5522199925208034e-18,1.4698992220032195e-17
0,4,15,,,1.387912905840696e-16,3312.0,4.556942003583048e-18,1.471045436560399e-17
0,4,16,,,1.180736453622911e-17,3312.0,4.805048770481267e-19,1.5042426442065007e-18
0,4,17,,,1.177078510093499e-17,3312.0,4.791782270279379e-19,1.4999717462352696e-18
0,4,18,,,1.177078510093499e-17,3312.0,4.791782270279379e-19,1.4999717462352696e-18
0,4,19,,,1.1859619053328297e-17,3312.0,4.82407884920559e-19,1.5103403015203395e-18
0,4,20,,,1.1682310968286678e-17,3312.0,4.759579241060298e-19,1.4896310080736343e-18
0,4,21,,,1.1682310968286678e-17,3312.0,4.759579241060298e-19,1.4896310080736343e-18
0,4,22,,,0.7386669701014144,-3637.3333333333335,0.4480014245965267,0.5347634212723705
0,4,23,,,0.7383459881317064,-3637.3333333333335,0.4475828728327504,0.5343687496444667
0,4,24,,,0.7386771786457539,-3637.3333333333335,0.4479854314132889,0.5347540371800756
0,4,25,,,0.7385009660025218,-3637.3333333333335,0.44778114013682724,0.5345606995767378
0,4,26,,,0.7385009660025218,-3637.3333333333335,0.44778114013682724,0.5345606995767378
0,4,27,,,0.7382710587959023,-3637.3333333333335,0.4475006033750762,0.5342927298179974
0,4,28,,,1.664388155125208e-18,3312.0,7.491124840585462e-20,2.2889707120832276e-19
0,4,29,,,1.664388155125208e-18,3312.0,7.491124840585462e-20,2.2889707120832276e-19
0,4,30,,,1.6521069659438926e-18,3312.0,7.431173714729227e-20,2.271940491298088e-19
0,4,31,,,1.654856163206843e-18,3312.0,7.441422105887676e-20,2.275046189057744e-19
0,4,32,,,1.655711944967254e-18,3312.0,7.446136684355792e-20,2.276055382960637e-19
0,4,33,,,1.6569969774881988e-18,3312.0,7.4515857854607e-20,2.2774686555802193e-19
0,4,34,,,1.6569969774881988e-18,3312.0,7.4515857854607e-20,2.2774686555802193e-19
0,4,35,,,0.9949768000021941,-4005.333333333333,0.929207884153202,0.9536518005716395
0,4,36,,,0.9949764391832937,-4005.333333333333,0.929207697012402,0.9536483819358565
0,4,37,,,0.9949666927383863,-4005.333333333333,0.929186329944585,0.9536528272057692
0,4,38,,,0.9950252124738692,-4005.333333333333,0.9293363220365762,0.9535638215975255
0,4,39,,,0.985446987694466,-4048.0,0.9238795047095607,0.9333565494896472
0,4,40,,,0.985446987694466,-4048.0,0.9238795047095607,0.9333565494896472
0,4,41,,,0.9854429329760487,-4048.0,0.9238747929123617,0.9333135555185349
0,4,42,,,0.9854416514649561,-4048.0,0.9238723267243191,0.933306005823099
0,4,43,,,0.9958126701066004,-3194.6666666666665,0.9672084269244507,0.9770682858289512
0,4,44,,,0.9958193128047679,-3194.6666666666665,0.9672302173926898,0.977078545602355
0,4,45,,,0.9958356408605014,-3194.6666666666665,0.96727415606591,0.9771080052653714
0,4,46,,,0.9958629850473647,-3194.6666666666665,0.9673419137712481,0.9771595084993775
0,4,47,,,0.9958629850473647,-3194.6666666666665,0.9673419137712481,0.9771595084993775
0,4,48,,,0.9958363010779308,-3194.6666666666665,0.9672768583006927,0.9771115608880091
0,4,49,,,0.9842050890259606,-3200.0,0.9409572510574886,0.958888567926264
0,5,6,,,0.9999999998329784,-3610.6666666666665,0.9999999992976285,0.9999999995032121
0,5,7,,,0.9999999998329784,-3610.6666666666665,0.9999999992976285,0.9999999995032121
0,5,8,,,0.9954394923616782,3306.6666666666665,0.8992880293855183,0.9253902095148226
0,5,9,,,0.9999999918254666,-3605.333333333333,0.9999999680630177,0.9999999813926247
0,5,10,,,0.9999999918254666,-3605.333333333333,0.9999999680630177,0.9999999813926247
0,5,11,,,2.2501797947107333e-21,3690.6666666666665,2.188997632181924e-22,6.033245140197739e-22
